generation,model,experiment,years,GMTemp,ATL3 mean,ATL3 stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,SAMSmonsoon area mean,SAMSmonsoon rain mean,SAMSmonsoon area stddev,SAMSmonsoon rain stddev,NEB rain ann,NEB rain jja,NEB rain djf,NEB rain jja stddev,NEB rain djf stddev,r(atl3.nino34),r(atl3.amo),ATL3 Period,ENSO Period,AMM Period,ATL3-sst-interann-stdev,ATL3-pr-interann-stdev,ATL3-sst-interjja-stdev,ATL3-pr-interjja-stdev
PMIP3,COSMOS-ASO,lgm-cal-adj,600,6.97033,23.3069,0.772255,1.78477,23.3069,0.772358,2.94545,0.361862,0.489405,5.5495,8.20567e+06,5.76609,611497,0.140851,2.86928,3.47837,2.3612,0.344054,0.477931,0.416506,0.00989896,4.51128,4.95868,6.25,0.532273,0.619322,0.550877,1.53057
PMIP3,COSMOS-ASO,piControl,400,12.4407,27.3068,0.5623,1.78083,27.3068,0.570502,2.7202,0.101219,0.525434,4.80763,9.44582e+06,6.05743,588350,0.199159,3.38556,4.09627,2.19357,0.493942,0.478433,0.395212,-0.104874,3.6036,3.6036,7.01754,0.359882,0.881988,0.525629,1.49291
PMIP3,CSIRO-Mk3-6-0,abrupt4xCO2,150,18.4452,28.0317,0.347694,0.958433,29.2015,0.347693,4.01996,4.37744,0.392887,6.19358,9.19494e+06,7.3507,661340,0.466409,1.48642,1.38661,0.764927,0.420389,0.26733,0.0806846,0.0181646,3.1,6.2,1.63158,0.234013,0.253396,0.333338,0.0806475
PMIP3,CSIRO-Mk3-6-0,midHolocene-cal-adj,100,12.8117,23.6707,0.446059,0.80598,23.6707,0.450611,2.43736,4.41803,0.505978,5.83038,8.32229e+06,5.9623,776287,0.396827,1.32937,1.49593,0.744324,0.622479,0.305654,-0.159986,-0.0569879,1.75439,3.84615,7.69231,0.281829,0.245367,0.40917,0.125021
PMIP3,CSIRO-Mk3-6-0,piControl,500,12.7337,23.9278,0.414529,0.680119,23.9278,0.419222,3.37139,4.30603,0.507987,5.65409,9.11723e+06,6.83802,620423,0.369659,1.59683,1.5916,1.15452,0.695777,0.377981,-0.0238313,0.0184074,2.45098,7.8125,5.20833,0.285929,0.241426,0.436068,0.151375
PMIP3,CSIRO-Mk3L-1-2,midHolocene-cal-adj,500,14.0929,26.6729,0.26404,0.44106,26.6729,0.264435,4.06311,2.17485,0.321787,7.95839,9.06117e+06,7.33531,572622,0.394311,3.07095,5.62939,1.28092,1.21494,0.487207,0.145686,-0.0993773,7.8125,7.8125,5.20833,0.213068,0.321289,0.360917,0.401921
PMIP3,CSIRO-Mk3L-1-2,piControl,1000,14.0412,26.8395,0.283316,0.534729,26.8395,0.28381,4.52679,1.96909,0.365122,7.52484,9.42421e+06,8.55974,553321,0.417816,3.81862,6.46816,2.02406,1.38804,0.715183,0.226107,-0.192573,7.93651,7.5188,5.37634,0.22794,0.307086,0.375083,0.358038
PMIP3,EC-EARTH-2-2,midHolocene-cal-adj,40,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,2.73015,2.90032,1.82952,0.296134,0.381368,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
PMIP3,EC-EARTH-2-2,piControl,40,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,3.19043,3.75066,2.34084,0.372257,0.415399,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
PMIP3,FGOALS-g2,abrupt4xCO2,258,18.8278,30.9886,0.228013,0.541508,31.6808,0.228014,2.2177,0.967066,0.270768,6.02631,1.04898e+07,6.13956,375805,0.197337,2.49535,3.96831,1.22344,0.578087,0.295914,0.409993,0.102987,4.42857,3.44444,5.16667,0.168199,0.458985,0.260991,1.07182
PMIP3,FGOALS-g2,lgm-cal-adj,100,8.58476,24.4893,0.326519,0.395681,24.4893,0.326667,3.24438,0.64399,0.39051,5.75371,9.16958e+06,6.32443,534872,0.239843,3.06873,3.90942,2.51517,0.584584,0.419174,-0.0275589,-0.0212884,4.54545,2.7027,4.54545,0.236547,0.635112,0.409594,1.88585
PMIP3,FGOALS-g2,midHolocene-cal-adj,680,12.4958,26.5865,0.265371,0.55938,26.5865,0.276849,1.91442,0.964285,0.28822,5.4307,1.07582e+07,5.17921,354850,0.161875,2.40866,3.62099,1.31211,0.46945,0.350626,0.309772,-0.0804736,3.71585,3.19249,5.86207,0.180429,0.527878,0.282251,1.48773
PMIP3,FGOALS-g2,piControl,700,13.1696,27.3382,0.283072,0.744639,27.3382,0.283885,2.79307,0.772017,0.312434,5.67324,1.0853e+07,5.87381,346881,0.183768,2.84923,4.34647,1.51928,0.617792,0.349837,0.25021,-0.0642015,3.125,3.04348,6.30631,0.193135,0.600926,0.327805,1.69082
PMIP3,FGOALS-s2,abrupt4xCO2,150,19.5804,30.6785,0.34635,1.35258,31.6947,0.346349,2.05835,-0.204945,0.347339,5.70527,9.3117e+06,6.2182,667927,0.305701,2.25125,3.49127,0.87146,0.834223,0.332635,0.488312,0.103973,3.1,3.44444,2.81818,0.243279,0.703645,0.290322,2.04376
PMIP3,FGOALS-s2,midHolocene-cal-adj,100,13.5477,25.6243,0.431369,1.04283,25.6243,0.431373,3.14579,1.09908,0.370061,5.4761,8.43727e+06,4.84554,683186,0.215568,1.08994,1.66783,0.320218,0.469736,0.133593,0.215192,-0.0215105,4.34783,5.55556,7.69231,0.311736,0.770812,0.527955,1.66634
PMIP3,FGOALS-s2,piControl,501,13.6471,25.9305,0.427171,1.07175,25.9305,0.429956,3.83962,1.07707,0.381953,5.12752,9.19925e+06,5.61386,552009,0.267171,1.3205,1.82058,0.644869,0.580724,0.260103,0.371068,-0.124316,5.21875,7.70769,7.26087,0.307418,0.720567,0.513463,1.47956
PMIP3,GISS-E2-R,abrupt4xCO2,151,17.7155,30.4962,0.169652,0.295514,30.782,0.169652,2.28255,0.205388,0.273744,5.3774,9.03259e+06,6.22836,723186,0.314802,3.91819,5.8066,1.77314,0.71973,0.514967,0.242074,0.161396,7.75,2.21429,2.81818,0.123119,0.710438,0.201789,1.47509
PMIP3,GISS-E2-R,lgm-cal-adj,100,9.47815,25.9444,0.228097,0.361203,25.9444,0.228199,1.79876,0.0324829,0.334045,4.7199,8.95986e+06,7.1577,404989,0.280361,5.07967,6.91345,3.6805,0.574619,0.550329,0.0147503,0.0167415,7.69231,2.12766,5.88235,0.167085,0.777815,0.278786,2.06796
PMIP3,GISS-E2-R,midHolocene-cal-adj,100,14.2424,27.7409,0.184419,0.491318,27.7409,0.18523,0.960918,0.732128,0.253137,4.95822,8.37179e+06,6.70053,545812,0.305867,4.65655,6.61834,2.37006,0.493621,0.499113,0.147313,0.0756868,6.25,2.38095,6.25,0.142565,0.750172,0.20298,1.8202
PMIP3,GISS-E2-R,piControl,500,14.2854,27.8356,0.200266,0.523797,27.8356,0.20035,1.76675,0.659337,0.259323,5.14649,9.1107e+06,7.32387,500807,0.312139,5.45366,7.4992,3.37829,0.53147,0.585171,0.18375,-0.0859742,3.7594,3.7594,7.8125,0.147748,0.679195,0.227432,1.71447
PMIP3,HadGEM2-CC,midHolocene-cal-adj,35,13.5264,25.8236,0.589483,0.684804,25.8236,0.590198,3.34674,0.942976,0.751931,6.01014,9.2978e+06,7.59692,484054,0.412492,2.56326,3.56268,1.27493,0.97642,0.389451,0.0320499,-0.212169,5,7,5,0.480192,1.01711,0.768395,1.4445
PMIP3,HadGEM2-CC,piControl,240,13.2435,26.0593,0.551747,0.705724,26.0593,0.555073,3.72634,0.569886,0.678405,5.33957,9.60097e+06,8.58769,504624,0.470849,3.19223,4.14062,2.04086,1.09431,0.606896,0.0848395,-0.226303,7.5,7.27273,6,0.432111,1.18473,0.771268,2.19483
PMIP3,HadGEM2-ES,abrupt4xCO2,151,20.033,30.5183,0.336503,0.617552,31.3379,0.336502,3.45773,0.255726,0.438747,6.21975,8.81431e+06,9.54444,375426,0.715144,4.01123,5.04333,1.48386,1.1706,0.469759,-0.0469585,0.220395,2.58333,3.875,2.81818,0.248306,0.919507,0.393088,1.40451
PMIP3,HadGEM2-ES,midHolocene-cal-adj,101,14.0502,26.3275,0.554455,0.647517,26.3275,0.559845,3.21294,0.762392,0.566162,6.17935,9.55998e+06,7.82267,453652,0.443339,2.93262,3.86684,1.37261,0.894435,0.511359,-0.0915181,-0.0963533,6.73333,7.76923,4.59091,0.435867,1.12535,0.78636,1.55659
PMIP3,HadGEM2-ES,piControl,336,13.7438,26.3599,0.526495,0.723614,26.3599,0.528125,3.80149,0.649318,0.602914,5.63601,9.7911e+06,8.68135,486839,0.465097,3.40633,4.54996,2.04249,1.10509,0.611209,0.00941637,-0.0418101,6.85714,5.25,6.85714,0.396521,1.19401,0.74194,2.17248
PMIP3,IPSL-CM5A-LR,abrupt4xCO2,260,18.1874,31.2787,0.267048,0.47624,32.1892,0.267048,4.08758,-0.0533033,0.319572,9.04949,8.92036e+06,8.26798,308916,0.418918,2.82322,4.58849,0.244751,1.08153,0.111538,0.225931,0.108587,5.16667,7.75,5.16667,0.177054,0.371093,0.29631,0.779222
PMIP3,IPSL-CM5A-LR,lgm-cal-adj,200,7.43385,23.081,0.432045,0.905677,23.081,0.432152,4.55147,0.560444,0.46344,8.04084,6.72406e+06,5.40325,558766,0.35056,1.6908,2.78868,0.562324,0.583681,0.226547,-0.0539133,-0.14144,3.125,4.44444,4.44444,0.321527,0.479279,0.467414,0.866968
PMIP3,IPSL-CM5A-LR,midHolocene-cal-adj,500,12.0081,26.3609,0.325892,0.565198,26.3609,0.325955,3.13168,0.984274,0.381623,8.46679,8.34113e+06,6.32229,351834,0.350905,1.65223,2.66629,0.248202,0.515933,0.125259,0.0425828,-0.0192565,5.20833,2.43902,6.41026,0.233785,0.415927,0.377378,0.82759
PMIP3,IPSL-CM5A-LR,piControl,1000,12.0334,26.6652,0.343671,0.683329,26.6652,0.343752,4.13772,0.917335,0.411825,8.13921,8.95198e+06,7.35236,338785,0.379409,2.02506,3.254,0.35559,0.667226,0.191472,0.0331292,-0.0174094,6.66667,5.05051,6.57895,0.249095,0.417291,0.408965,0.968229
PMIP3,MIROC-ESM,abrupt4xCO2,150,20.0028,31.7634,0.213928,0.417675,32.7461,0.213926,2.1218,0.415268,0.283246,5.44697,1.17915e+07,6.6151,460195,0.299499,2.78412,3.0971,1.12867,0.374803,0.347125,0.412506,0.103358,2.21429,6.2,2.21429,0.139966,0.361417,0.200734,0.972185
PMIP3,MIROC-ESM,lgm-cal-adj,100,8.59001,25.0536,0.360765,0.547678,25.0536,0.360973,3.40907,0.217045,0.448127,5.53111,1.01084e+07,6.6815,394433,0.381044,3.01571,3.01938,2.03755,0.757234,0.552186,-0.0368284,0.0267551,7.69231,4.34783,6.66667,0.260276,0.508506,0.419593,1.11042
PMIP3,MIROC-ESM,midHolocene-cal-adj,100,13.4012,26.5385,0.311182,0.403423,26.5385,0.311313,2.64326,0.578971,0.369309,5.33609,1.08562e+07,6.15615,384754,0.280109,2.91809,2.86052,1.75147,0.514432,0.496254,-0.0470497,-0.311105,2.85714,7.14286,2.7027,0.23273,0.402373,0.385757,0.913433
PMIP3,MIROC-ESM,piControl,630,13.5989,27.1836,0.327599,0.469531,27.1836,0.340215,3.17453,0.590311,0.391475,5.15886,1.10647e+07,7.07884,336813,0.306156,3.34474,3.448,1.87591,0.707662,0.521528,0.0960625,1e+20,3.88889,6.23762,3.86503,0.247018,0.498737,0.418393,1.30558
PMIP3,MPI-ESM-P,abrupt4xCO2,150,19.4074,31.2651,0.437632,1.18578,31.88,0.437633,4.1152,0.49186,0.40831,7.08771,9.96404e+06,7.63794,464596,0.438386,3.40061,4.3523,1.14086,0.912334,0.430453,0.440829,-0.00521468,2.81818,3.44444,7.75,0.283862,0.863005,0.434615,2.18001
PMIP3,MPI-ESM-P,lgm-cal-adj,100,9.22842,24.9482,0.459977,0.789227,24.9482,0.460268,2.87147,-0.332375,0.477797,5.25125,9.30215e+06,6.28566,488049,0.179889,2.56334,2.41831,2.04337,0.397981,0.457799,0.228179,-0.119781,2.77778,2.85714,5.26316,0.283826,0.727429,0.409909,1.95438
PMIP3,MPI-ESM-P,midHolocene-cal-adj,100,13.4629,26.3904,0.375342,0.665354,26.3904,0.377514,2.27041,0.449892,0.402767,4.90507,9.88983e+06,6.21753,447630,0.221215,2.36757,2.40834,1.51494,0.353367,0.417481,0.151299,-0.100572,3.33333,3.0303,7.14286,0.246698,0.668339,0.323868,1.63205
PMIP3,MPI-ESM-P,piControl,1156,13.644,27.0224,0.435668,0.757,27.0224,0.435669,3.08556,0.330737,0.421598,5.56733,1.0181e+07,7.25921,418195,0.257269,3.06823,3.30915,1.99104,0.498998,0.480204,0.145756,1e+20,5.80905,4.36226,6.64368,0.274992,0.885338,0.404704,2.27847
PMIP3,MRI-CGCM3,abrupt4xCO2,150,18.019,29.9891,0.366559,0.875106,30.6194,0.366559,3.76239,-0.486495,0.375764,5.6563,1.04391e+07,9.77809,489760,0.522738,5.74957,9.28361,2.20462,1.50591,0.847696,0.263714,-0.528534,2.38462,2.38462,4.42857,0.24617,0.718491,0.429702,1.27132
PMIP3,MRI-CGCM3,lgm-cal-adj,100,8.90489,23.3044,0.443087,0.57653,23.3044,0.443526,5.08087,-0.306694,0.342644,5.86363,8.64996e+06,7.00586,444447,0.27265,4.3494,6.40128,3.03235,0.637424,0.469911,0.00288691,-0.0908981,5,4,5,0.277966,0.241566,0.547519,0.159927
PMIP3,MRI-CGCM3,midHolocene-cal-adj,100,13.6235,25.8817,0.39502,0.666212,25.8817,0.395082,3.22489,-0.224853,0.3551,5.9537,9.32007e+06,7.46444,377932,0.30052,4.40275,6.4356,2.42609,0.685418,0.536409,0.0910337,-0.155153,7.14286,6.25,4.7619,0.265648,0.535504,0.450843,0.429976
PMIP3,MRI-CGCM3,piControl,500,13.5892,26.4595,0.389759,0.601436,26.4595,0.390452,4.09109,-0.689667,0.361279,5.46798,9.56317e+06,8.54116,437648,0.353821,5.47585,8.26195,3.31706,0.986838,0.640131,-0.00772352,1e+20,4.34783,3.0303,5,0.237067,0.465636,0.45562,0.705526
PMIP4,ACCESS-ESM1-5,lig127k-cal-adj,200,15.0638,27.0151,0.473604,0.667553,27.0151,0.473604,1.9323,1.66062,0.48759,6.04113,9.57824e+06,7.7504,428346,0.488129,2.56673,3.34398,0.737329,1.18222,0.332261,0.0257086,-0.106021,2.77778,6.89655,6.89655,0.375652,0.843542,0.519024,0.722342
PMIP4,ACCESS-ESM1-5,piControl,100,14.4566,26.9863,0.580548,0.789247,26.9863,0.585615,3.63253,1.29933,0.468786,5.49363,9.78225e+06,9.52381,537333,0.515705,2.69607,3.2554,1.52643,1.17204,0.43122,0.143588,0.0496538,7.14286,3.22581,7.14286,0.461997,1.12549,0.760626,1.78266
PMIP4,AWI-ESM-1-1-LR,lgm-cal-adj,100,9.29536,25.4426,0.483747,0.812731,25.4426,0.48375,3.53756,-0.735431,0.51465,7.51076,9.91899e+06,6.27849,417573,0.226438,3.10325,3.28119,1.95956,0.349668,0.494768,0.443314,-0.13287,2.7027,3.44828,3.57143,0.27004,0.74493,0.479158,2.23228
PMIP4,AWI-ESM-1-1-LR,lig127k-cal-adj,100,12.9112,26.2054,0.412281,0.519056,26.2054,0.412283,1.59045,-0.0533223,0.423341,6.04513,9.41896e+06,5.78247,351811,0.198435,2.6084,3.38574,1.48468,0.479399,0.38931,0.227043,0.0699208,2.77778,6.25,7.14286,0.238349,0.694763,0.342816,1.6151
PMIP4,AWI-ESM-1-1-LR,midHolocene-cal-adj,100,12.6325,26.2486,0.429267,0.627697,26.2486,0.429383,2.66916,-0.0632717,0.454869,6.08395,1.00459e+07,6.39803,416069,0.214064,2.92345,3.02214,1.98433,0.426453,0.431426,0.144043,-0.0412376,2.77778,4.16667,3.44828,0.244787,0.760925,0.419418,2.01792
PMIP4,AWI-ESM-1-1-LR,piControl,100,13.0093,26.9828,0.438132,0.666452,26.9828,0.438676,3.46768,-0.506204,0.464896,6.71959,1.02775e+07,7.21593,372679,0.283231,3.51908,3.68832,2.21252,0.511807,0.435148,0.417613,-0.0192013,2.5,4.7619,3.33333,0.246065,0.739611,0.38144,1.96381
PMIP4,C20-Reanalysis,C20-Reanalysis,180,14.4579,26.3367,0.580604,0.77952,26.3367,0.581269,4.32644,2.23504,0.514647,7.12309,9.3883e+06,6.81676,653920,0.509847,2.40823,3.21702,1.84033,0.758372,0.572958,0.0334336,0.106572,5,3.67347,4.86486,0.358177,0.44126,0.537118,0.328739
PMIP4,CESM2-FV2,lgm-cal-adj,500,7.32831,22.9074,0.514046,0.864483,22.9074,0.538523,4.16024,1.62718,0.454905,6.25242,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.0435903,-0.197031,4.71698,4.7619,7.8125,0.405291,1e+20,0.609289,1e+20
PMIP4,CESM2-FV2,piControl,150,13.9196,27.2375,0.411173,1.01825,27.2375,0.411241,4.12401,1.08697,0.400146,6.88134,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,-0.122615,-0.0163723,4.54545,2.88462,2.88462,0.329739,1e+20,0.53925,1e+20
PMIP4,CESM2,abrupt4xCO2,150,21.2724,33.2194,0.248443,0.669883,34.8523,0.248446,3.19732,0.00753922,0.278943,6.35432,1.06686e+07,7.95837,562465,0.717276,5.10577,7.23434,1.74326,1.59946,0.472235,0.135777,-0.240593,5.16667,2.06667,7.75,0.194442,0.626153,0.255452,1.47276
PMIP4,CESM2,lig127k-cal-adj,700,14.1054,27.4258,0.368927,0.913569,27.4258,0.369438,2.63311,1.79091,0.373689,7.32456,1.01933e+07,6.34573,485391,0.367409,3.07602,4.71702,0.797304,0.998259,0.367373,0.231465,-0.0237809,5.6,5.69106,5.6,0.291902,0.436266,0.353477,0.345532
PMIP4,CESM2,midHolocene-cal-adj,700,13.9035,27.3209,0.407273,1.04081,27.3209,0.407318,3.72298,2.00884,0.379784,6.99428,1.06802e+07,6.92322,467065,0.411106,3.1271,4.47642,1.18411,1.08161,0.438772,0.188167,-0.0436946,5.69106,4.43038,7.77778,0.311112,0.535832,0.409364,0.722767
PMIP4,CESM2,midPliocene-eoi400,1200,19.0015,31.5208,0.422629,1.1864,31.5208,0.47587,4.36783,1.4806,0.385989,6.7532,1.17072e+07,7.80676,444027,0.565901,3.58026,5.18145,0.771068,1.45143,0.40953,0.307836,-0.381411,3.98671,3.6036,7.14286,0.32521,0.745376,0.460426,1.40822
PMIP4,CESM2,piControl,500,14.052,27.7394,0.395334,1.14069,27.7394,0.395473,4.3407,1.7426,0.392592,6.96844,1.09855e+07,8.10644,489628,0.514822,4.0643,5.55261,1.74671,1.21752,0.582074,0.0666586,-0.0701304,3.93701,3.73134,3.62319,0.291735,0.614917,0.415358,0.956592
PMIP4,CNRM-CM6-1,abrupt4xCO2,150,19.5959,31.8916,0.307912,0.981398,32.8674,0.307912,3.62849,-0.284256,0.377061,10.2401,9.87557e+06,7.63874,503766,0.487167,4.35819,6.99666,0.917463,0.715035,0.477692,0.419625,0.300398,4.42857,3.1,1.29167,0.183628,0.845226,0.301105,1.90121
PMIP4,CNRM-CM6-1,lig127k-cal-adj,301,13.3501,27.2869,0.341722,0.650003,27.2869,0.343117,1.52048,0.316854,0.398213,8.1181,8.69253e+06,5.58758,575950,0.317716,3.26502,6.01571,0.708032,0.728647,0.311992,0.23017,0.0218923,6.14286,3.0404,2.26316,0.211276,0.696496,0.3037,1.36585
PMIP4,CNRM-CM6-1,piControl,500,12.8577,27.2503,0.366471,0.845644,27.2503,0.367451,3.6722,0.16031,0.422316,8.70045,9.86483e+06,7.61655,474804,0.408049,4.3244,7.0922,1.43382,0.768102,0.554004,0.318705,0.0688168,3.08642,3.62319,2.92398,0.226907,0.827371,0.370129,2.1374
PMIP4,EC-Earth3-LR,midHolocene-cal-adj,201,13.3157,26.3933,0.510471,0.602431,26.3933,0.515889,3.90107,0.14964,0.383257,8.93385,9.36999e+06,6.79009,509305,0.267967,3.53317,6.12944,1.16862,0.53777,0.4047,0.189409,0.206011,4.36957,4.10204,7.73077,0.337433,0.578638,0.656179,1.45762
PMIP4,EC-Earth3-LR,midPliocene-eoi400,100,18.1468,29.9173,0.372802,0.360539,29.9173,0.37517,4.21688,0.0139432,0.363003,8.5682,1.02271e+07,7.5418,512610,0.365796,3.82072,7.20759,0.584422,0.715406,0.250601,0.168036,-0.0533952,2.38095,7.69231,7.69231,0.234637,0.592902,0.367237,1.57811
PMIP4,EC-Earth3-LR,piControl,201,13.2985,26.9101,0.492271,0.691268,26.9101,0.494125,4.90681,-0.289064,0.380353,8.95259,9.50499e+06,7.48925,506134,0.288184,4.06742,7.15104,1.52034,0.5473,0.474891,0.126113,0.0489975,2.33721,3.14062,4.10204,0.293217,0.656269,0.613561,1.76758
PMIP4,FGOALS-f3-L,abrupt4xCO2,160,18.053,29.4181,0.337141,1.31124,29.7293,0.337142,3.74904,2.09931,0.436598,5.45371,7.6068e+06,4.78431,1.55054e+06,0.301988,1.45645,1.96263,0.525824,0.690487,0.247392,0.147819,-0.212214,7.75,3.1,3.1,0.229611,1.0545,0.373092,1.588
PMIP4,FGOALS-f3-L,lig127k-cal-adj,500,12.6165,25.9496,0.333114,1.07971,25.9496,0.333514,2.12693,1.40045,0.325042,5.64884,4.08698e+06,4.34841,926358,0.296875,1.69313,2.6533,0.641562,0.527357,0.258278,0.153917,-0.109558,4.09836,3.67647,4.06504,0.236318,0.637177,0.371157,1.19512
PMIP4,FGOALS-f3-L,midHolocene-cal-adj,500,12.5715,26.0163,0.372898,1.32186,26.0163,0.3729,2.78921,1.39673,0.338158,5.5495,5.84687e+06,4.30041,1.20485e+06,0.24109,1.86357,2.77357,0.773343,0.501392,0.291769,0.120118,-0.0679046,3.22581,3.18471,6.09756,0.261683,0.723542,0.414079,1.62506
PMIP4,FGOALS-f3-L,piControl,561,12.8781,26.6683,0.393909,1.34987,26.6683,0.39476,3.38074,1.09839,0.407784,5.26406,8.41495e+06,4.43343,1.04645e+06,0.225907,2.24736,3.30945,0.975223,0.664967,0.378535,0.07886,-0.0144785,3.55063,2.95263,3.16949,0.2597,0.904886,0.44651,2.14553
PMIP4,FGOALS-g3,lig127k-cal-adj,500,14.4609,26.8632,0.397071,0.744687,26.8632,0.397271,3.72801,1.15187,0.251556,4.44723,7.83045e+06,6.14312,571709,0.248203,1.85608,2.47788,0.92876,0.463035,0.25943,0.366967,-0.0656958,2.42718,2.42718,3.62319,0.232706,0.435879,0.246896,0.61142
